Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
13.8,25.2,6,Autauga County,20.9,85.6,0.5,1.1,18.7,2.7,0.1,1.8,77.9,75.6,24571,12.1,53682,54571,55395,1.5,91.8,AL
18.7,22.2,5.6,Baldwin County,27.7,89.1,0.7,0.9,9.6,4.6,0.1,1.6,87.1,83,26766,13.9,50221,182265,200111,9.8,114.6,AL
16.5,21.2,5.7,Barbour County,13.4,73.7,0.6,0.5,47.6,4.5,0.2,0.9,50.2,46.6,16829,26.7,32911,27457,26887,-2.1,31,AL
14.8,21,5.3,Bibb County,12.1,77.5,0.4,0.2,22.1,2.1,0.1,0.9,76.3,74.5,17427,18.1,36447,22915,22506,-1.8,36.8,AL
17,23.6,6.1,Blount County,12.1,77,0.6,0.3,1.8,8.7,0.1,1.2,96,87.8,20730,15.8,44145,57322,57719,0.7,88.9,AL
14.9,21.4,6.3,Bullock County,12.5,67.8,0.8,0.3,70.1,7.5,0.7,1.1,26.9,22.1,18628,21.6,32033,10914,10764,-1.4,17.5,AL
18,23.6,6.1,Butler County,14,76.3,0.4,0.9,44,1.2,0,0.8,53.9,53.1,17403,28.4,29918,20947,20296,-3.1,27,AL
16,22.2,5.7,Calhoun County,16.1,78.6,0.5,0.9,21.1,3.5,0.1,1.7,75.8,72.9,20828,21.9,39962,118572,115916,-2.3,195.7,AL
18.3,21.4,5.9,Chambers County,11.8,,0.3,0.8,39.5,2,0.1,1.1,58.3,56.8,19291,24.1,32402,34215,34076,-0.3,57.4,AL
20.9,20.4,4.8,Cherokee County,12.8,78.3,0.5,0.3,4.6,1.5,0,1.6,93,91.6,22030,21.2,34907,25989,26037,0.2,46.9,AL
15.2,24.2,6.4,Chilton County,12.9,76,0.5,0.4,10.6,7.7,0.2,1.2,87.1,80.3,20701,19.5,41250,43643,43931,0.7,63,AL
20.8,20.6,4.9,Choctaw County,11.8,75.2,0.2,0.3,42.4,0.8,0,0.5,56.6,56.1,20323,21.5,33941,13859,13323,-3.9,15.2,AL
18,22.6,5.6,Clarke County,11.2,78.3,0.4,0.5,44.2,1.3,0,0.8,54,53.1,18979,29.3,29357,25833,24945,-3.5,20.9,AL
19.4,21.6,5.3,Clay County,9.2,76.5,0.6,0.3,14.5,3.4,0,1.8,82.8,79.7,18694,19,34002,13932,13552,-2.7,23.1,AL
