Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
25.4,19.8,4.8,Cleburne County,16.8,84.5,0.7,0.3,0.5,2.6,0,1.4,97,94.8,23044,15.8,40246,25970,25634,-1.3,46.9,AR
18.9,26.8,7.1,Crosby County,13.8,69.5,1.2,0.1,4.4,54,0.1,1.5,92.8,41.1,18959,26.5,38187,6059,5899,-2.6,6.7,TX
15.2,27.3,7.7,Toombs County,15.2,79.2,0.7,0.9,26,11.2,0.2,1.5,70.8,61.1,18716,26.9,31189,27223,27282,0.2,74.8,GA
16.1,21.6,6.1,Bay County,21.1,87,0.8,2.3,11.3,5.7,0.1,3.1,82.4,77.7,24498,14.7,47461,168852,178985,6,222.6,FL
17.1,24.9,6.7,Garvin County,15.4,83.3,8.6,0.8,2.8,7.6,0.1,5.4,82.3,76.3,21285,19.1,38245,27576,27561,-0.1,34.4,OK
18.4,24.8,7.1,Neosho County,16.2,89.8,1.4,0.8,1.3,5.2,0,1.9,94.5,90.3,21163,20.7,42071,16512,16416,-0.6,28.9,KS
15.6,22.3,5.7,Jackson County,8.2,69.3,0.2,0.1,0.3,0.7,0,0.7,98.7,98.1,15880,34.2,26156,13494,13289,-1.5,39.1,KY
19.8,23.4,6.4,Okanogan County,16.5,81.7,12.6,1,0.8,19,0.2,3,82.4,66.4,20735,20.7,40368,41120,41290,0.4,7.8,WA
12.2,24.6,6,Howard County,60,94.9,0.4,16.9,18.6,6.4,0.1,3.6,60.4,55.4,48172,4.6,109865,287085,309284,7.7,1144.9,MD
22.3,22,5.4,Sac County,19.1,91.4,0.2,0.4,0.3,2.8,0.1,0.9,98.2,95.7,26350,8.7,48093,10350,10035,-3,18,IA
